Eidolon Names|Total Bonus
Summer Rachel, Faust, Shirayuki|DMG +6% against Storm targets
Faust, Dante|DMG +9% against Dark targets
Pandora, Dante|DMG +9% against Dark targets
Justicia, Pandora|DMG +9% against Dark targets
Aelius, Serena|DMG +9% against Flame targets
Kitami, Vermilion|DMG +9% against Flame targets
Halloween Zephyrine, Zashi|DMG +9% against Flame targets
Aelius, Tanith, Astraea|DMG +9% against Holy targets
Nalani, Tsubaki|DMG +9% against Holy targets
Santa Amaterasu, Santa Lumikki|DMG +9% against Holy targets
Cyril, Lumikki|DMG +9% against Ice targets
Lumikki, Shirayuki|DMG +9% against Ice targets
Santa Idun, Santa Amaterasu|DMG +9% against Ice targets
Bahadur, Kaiser Zeta|DMG +9% against Lightning targets
Ayako, Tyr|DMG +9% against Lightning targets
Bastet, Kitami|DMG +9% against Lightning targets
Alice, Hansel and Gretel|DMG +9% against Storm targets
Undine, Kitami|DMG +9% against Storm targets
Benkei, Hansel and Gretel|DMG +9% against Storm targets
Endora, Muse, Pandora|DMG dealt +12%
Cerberus, Hades, Hermes|DMG dealt +12%
Summer Persephone, Summer Alucard|DMG dealt +3%
Komainu, Halloween Zashi|DMG dealt +3%
Frigga, Tanith|DMG dealt +3%
Faust, Eternia, Verdandi|DMG dealt +6%
Hades, Demeter|DMG dealt +6%
Succubus, Michaela|DMG dealt +6%
Seiryuu, Nidhogg|DMG dealt +6%
Iwanaga-hime, Sakuya-hime|DMG dealt +6%
Kingyo-hime, Aoandon|DMG dealt +6%
Summer Michaela, Summer Nidhogg|DMG dealt +6%
Gaia, Gigas, Eris|DMG dealt +6%
Queen of Hearts, Andrea|DMG dealt +9%
Shuten-Doji, Orochi|DMG dealt +9%
Genbu, Vermilion|DMG dealt to Boss Monsters +3%
Christmas Sakuya-hime, Nazrudin, Santa Kingyo-hime|DMG dealt to Boss Monsters +3%
Liu Bei, Bahadur, Anubis|DMG dealt to Boss Monsters +3%
Santa Amaterasu, Santa Muse|DMG dealt to Boss Monsters +6%
Festival Elizabeth, Skuld|DMG dealt to Boss Monsters +6%
Prometheus, Gaia, Poseidon|DMG dealt to Boss Monsters +6%
Alucard, Bealdor|DMG dealt to Boss Monsters +9%
Hebe, Shirayuki|DMG dealt to Boss Monsters +9%
Santa Alice, Santa Lumikki|DMG dealt to Boss Monsters +9%
Bel-Chandra, Maja, Hel|DMG dealt to Elites +15%
Inaba, Venus|DMG dealt to Elites +6%
Rachel, Raphael|DMG dealt to Elites +6%
Komainu, Cerberus|DMG dealt to Elites +6%
Verdandi, Eternia|DMG dealt to Elites +9%
Prometheus, Zaahir, Bahadur|DMG dealt to Elites +9%
Bealdor, Hel|DMG dealt to Players +15%
Andrea, Elizabeth|DMG dealt to Players +15%
Santa Alice, Santa Ayako, Santa Tyr|DMG dealt to Players +27%
Cesela, Muse, Harmonia|DMG taken -12%
Venus, Muse|DMG taken -6%
Idun, Verdandi|DMG taken -6%
Sif, Ayako|DMG taken -6%
Urd, Verdandi|DMG taken -6%
Uzuriel, Uriel, Michaela|DMG taken from Boss Monsters -15%
Santa Lumikki, Santa Ayako, Santa Tyr|DMG taken from Boss Monsters -21%
Thumbelina, Hansel and Gretel|DMG taken from Elites -6%
Hestia, Elizabeth|DMG taken from Elites -6%
Lumikki, Amaterasu|DMG taken from Elites -9%
Eirene, Harmonia|DMG taken from Elites -9%
Amaterasu, Kusanagi|DMG taken from Players -12%
Festival Succubus, Muramasa|DMG taken from Players -15%
Genbu, Kitami|DMG taken from Players -3%
Aurora, Bel-Chandra, Rachel|DMG taken from Players -6%
Beelzebub, Maja, Hodur|Damage of Dark Skills +6%
Quelkulan, Vermilion|Damage of Dark Skills +9%
Muramasa, Zephyrine|Damage of Dark Skills +9%
Izanami, Uriel|Damage of Dark Skills +9%
Nidhogg, Verdandi|Damage of Dark Skills +9%
Festival Muramasa, Succubus|Damage of Dark Skills +9%
Persephone, Hades|Damage of Flame Skills +12%
Halloween Zephyrine, Halloween Zashi|Damage of Flame Skills +6%
Prometheus, Kaiser Zeta, Eirene|Damage of Flame Skills +6%
Aelius, Muse|Damage of Flame Skills +9%
Tigerius Caesar, Cleopawtra|Damage of Flame Skills +9%
Persephone, Cerberus|Damage of Flame Skills +9%
Santa Muse, Santa Alice|Damage of Holy Skills +15%
Raphael, Uzuriel|Damage of Holy Skills +6%
Xiaoqiao, Diao Chan|Damage of Holy Skills +6%
Guan Yu, Nalani, Miketsukami|Damage of Holy Skills +6%
Sigrun, Astraea|Damage of Holy Skills +9%
Vayu, Ghodroon|Damage of Holy Skills +9%
Otohime, Undine|Damage of Ice Skills +12%
Siren, Eirene|Damage of Ice Skills +6%
Christmas Little Red Riding Hood, Tigerius Caesar, Christmas Sakuya-hime|Damage of Ice Skills +6%
Nazrudin, Quelkulan|Damage of Ice Skills +9%
Zaahir, Undine|Damage of Ice Skills +9%
Ullr, Bealdor|Damage of Ice Skills +9%
Ares, Hermes|Damage of Lightning Skills +12%
Bastet, Zephyrine|Damage of Lightning Skills +6%
Aurora, Quelkulan, Kusanagi|Damage of Lightning Skills +6%
Gigas, Eligos|Damage of Lightning Skills +9%
Sigrun, Bel-Chandra|Damage of Lightning Skills +9%
Abraxas, Tyr|Damage of Lightning Skills +9%
Summer Shutendoji, Cleopawtra, Summer Iwanaga-hime|Damage of Physical Skills +12%
New Year Hestia, Festival Elizabeth, Festival Succubus|Damage of Physical Skills +6%
Miketsukami, Tsukuyomi, Iwanaga-hime|Damage of Physical Skills +6%
Da Qiao, Xiaoqiao|Damage of Physical Skills +6%
Thor, Ghodroon, Jormungand|Damage of Physical Skills +6%
Aladdin, Siren, Otohime|Damage of Physical Skills +9%
Sakuya-hime, Demeter|Damage of Storm Skills +12%
Orochi, Muramasa|Damage of Storm Skills +6%
Odin, Ghodroon, Urd|Damage of Storm Skills +6%
Yarnaros, Yumikaze|Damage of Storm Skills +9%
Kotonoha, Diao Chan|Damage of Storm Skills +9%
Demeter, Uriel|Damage of Storm Skills +9%
Christmas Andrea, Benkei, Christmas Sakuya-hime|Main Weapon DMG +6%
New Year Queen of Hearts, Yarnaros, New Year Hestia|Main Weapon DMG +6%
Odin, Cyril, Yumikaze|Main Weapon DMG +6%
Poseidon, Nazrudin, Ullr|Main Weapon DMG +6%
Summer Rachel, Uzuriel, Succubus|Main Weapon DMG +6%
Guan Yu, Zhang Fei, Liu Bei|Main Weapon DMG +6%
Christmas Little Red Riding Hood, Yarnaros, Christmas Andrea|Max CRIT DMG +2%, Main Weapon DMG +4%
Miketsukami, Sif|Max CRIT DMG +3%
Jormungand, Hel, Nidhogg|Max CRIT DMG +9%
Summer Shutendoji, Nalani, Summer Persephone|Max DMG dealt +12%
Eris, Tanith, Persephone|Max DMG dealt +6%
Princess Kaguya, Inaba, Queen of Hearts|Max DMG dealt +9%
Gaia, Abraxas, Venus|Max DMG dealt +9%
Verdandi, Astraea, Justicia|Move SPD +12%
Hermes, Hades|Move SPD +12%
Elizabeth, Michaela|Move SPD +12%
Abe no Seimei, Seiryuu|Move SPD +3%
Santa Raphael, Santa Muse|Move SPD +3%
Qingniao, Lumikki|Move SPD +6%
Tsukuyomi, Amaterasu|Move SPD +6%
Halloween Zashi, Endora|Move SPD +6%
Michaela, Dante|Normal ATK SPD +9%
Summer Alucard, Ares|Normal ATK SPD +9%
Thumbelina, Alice|PEN +3%
Genbu, Seiryuu|PEN +3%
Raphael, Endora|PEN +3%
Salome, Bastet|PEN +3%
Nekomata, Izanami|PEN +3%
Santa Komainu, Santa Raphael|PEN +3%
Santa Tyr, Santa Ayako|PEN +6%
Otohime, Kingyo-hime|PEN +6%
Festival Succubus, Festival Muramasa|PEN +6%
Inaba, Iwanaga-hime|PEN +6%
Summer Persephone, Summer Michaela|PEN +6%
Rachel, Eternia|PEN +6%
Queen of Hearts, Qingniao|PEN +6%
Santa Idun, Santa Raphael|PEN +6%
Festival Elizabeth, Sif|PEN +6%
Little Red Riding Hood, Ullr|PEN +6%
Komainu, Hestia|PEN +6%
Percival, Idun|PEN +6%
Siren, Hebe|PEN +6%
Frigga, Harmonia|PEN +6%
Hodur, Alucard|PEN +6%
Xiaoqiao, Sakuya-hime|PEN +6%
Santa Komainu, Santa Kingyo-hime|PEN +6%
Urd, Verdandi, Skuld|PEN +9%
